index, matrix_size, precision, error, time, iterations, min_val, max_val
63, 5, 1.000000e-01, 9.671508e-02, 445334, 153, -1.000000e+09, 1.000000e+09, 
64, 5, 1.000000e-01, 2.027677e-02, 55111, 16, -1.000000e+09, 1.000000e+09, 
65, 5, 1.000000e-01, 5.662172e-02, 33777, 8, -1.000000e+09, 1.000000e+09, 
66, 5, 1.000000e-01, 6.537909e-02, 38222, 10, -1.000000e+09, 1.000000e+09, 
67, 5, 1.000000e-01, 4.744381e-02, 72889, 22, -1.000000e+09, 1.000000e+09, 
68, 5, 1.000000e-01, 5.477055e-02, 144000, 36, -1.000000e+09, 1.000000e+09, 
69, 5, 1.000000e-01, 6.062624e-02, 69778, 20, -1.000000e+09, 1.000000e+09, 
70, 5, 1.000000e-01, 9.432845e-02, 135556, 44, -1.000000e+09, 1.000000e+09, 
71, 5, 1.000000e-01, 6.303332e-03, 27111, 6, -1.000000e+09, 1.000000e+09, 
72, 5, 1.000000e-01, 9.538695e-02, 513334, 166, -1.000000e+09, 1.000000e+09, 
73, 5, 1.000000e-01, 1.328746e-02, 36889, 8, -1.000000e+09, 1.000000e+09, 
74, 5, 1.000000e-01, 4.195110e-02, 76445, 20, -1.000000e+09, 1.000000e+09, 
75, 5, 1.000000e-01, 9.376364e-02, 372444, 112, -1.000000e+09, 1.000000e+09, 
76, 5, 1.000000e-01, 8.502016e-02, 307111, 93, -1.000000e+09, 1.000000e+09, 
77, 5, 1.000000e-01, 6.704393e-02, 191555, 56, -1.000000e+09, 1.000000e+09, 
78, 5, 1.000000e-01, 7.649855e-02, 180000, 53, -1.000000e+09, 1.000000e+09, 
79, 5, 1.000000e-01, 6.054982e-02, 94666, 26, -1.000000e+09, 1.000000e+09, 
80, 5, 1.000000e-01, 8.196272e-02, 252000, 75, -1.000000e+09, 1.000000e+09, 
81, 5, 1.000000e-01, 7.489957e-02, 204000, 60, -1.000000e+09, 1.000000e+09, 
82, 5, 1.000000e-01, 7.719460e-02, 166667, 48, -1.000000e+09, 1.000000e+09, 
83, 5, 1.000000e-01, 4.276365e-02, 64889, 17, -1.000000e+09, 1.000000e+09, 
84, 5, 1.000000e-01, 6.763209e-02, 136000, 39, -1.000000e+09, 1.000000e+09, 
85, 5, 1.000000e-01, 9.483097e-02, 841778, 226, -1.000000e+09, 1.000000e+09, 
86, 5, 1.000000e-01, 7.544703e-02, 102222, 23, -1.000000e+09, 1.000000e+09, 
