index, matrix_size, precision, error, time, iterations, min_val, max_val
0, 5, 1.000000e-01, 6.122153e-08, 31556, 3, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-01, 1.437913e-09, 31111, 3, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-01, 2.684595e-04, 19555, 3, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-01, 9.763461e-09, 22666, 3, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-01, 7.224569e-07, 24444, 3, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-01, 4.869258e-08, 27111, 3, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-01, 1.039836e-07, 24444, 3, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-01, 4.450447e-08, 28000, 3, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-01, 7.960156e-09, 28889, 3, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-01, 3.121048e-08, 24444, 3, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-01, 9.176891e-07, 19111, 3, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-01, 8.056768e-08, 20889, 3, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-01, 1.424926e-08, 19556, 3, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-01, 5.376341e-07, 20444, 3, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-01, 8.288820e-09, 20444, 3, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-01, 1.424468e-08, 19111, 3, -1.000000e+09, 1.000000e+09, 
16, 5, 1.000000e-01, 1.208206e-07, 19111, 3, -1.000000e+09, 1.000000e+09, 
17, 5, 1.000000e-01, 5.706535e-09, 18666, 3, -1.000000e+09, 1.000000e+09, 
18, 5, 1.000000e-01, 5.311843e-08, 18223, 3, -1.000000e+09, 1.000000e+09, 
19, 5, 1.000000e-01, 4.249387e-08, 19111, 3, -1.000000e+09, 1.000000e+09, 
20, 5, 1.000000e-01, 2.112913e-08, 18222, 3, -1.000000e+09, 1.000000e+09, 
21, 5, 1.000000e-01, 2.029224e-08, 19111, 3, -1.000000e+09, 1.000000e+09, 
22, 5, 1.000000e-01, 1.110182e-07, 22222, 3, -1.000000e+09, 1.000000e+09, 
