index, matrix_size, precision, error, time, iterations, min_val, max_val
63, 5, 1.000000e-01, 4.172631e-10, 27555, 3, -1.000000e+09, 1.000000e+09, 
64, 5, 1.000000e-01, 1.429219e-09, 30222, 3, -1.000000e+09, 1.000000e+09, 
65, 5, 1.000000e-01, 2.273209e-09, 28889, 3, -1.000000e+09, 1.000000e+09, 
66, 5, 1.000000e-01, 9.003513e-10, 29334, 3, -1.000000e+09, 1.000000e+09, 
67, 5, 1.000000e-01, 7.870081e-10, 25333, 3, -1.000000e+09, 1.000000e+09, 
68, 5, 1.000000e-01, 4.257766e-07, 27112, 3, -1.000000e+09, 1.000000e+09, 
69, 5, 1.000000e-01, 1.868675e-09, 27556, 3, -1.000000e+09, 1.000000e+09, 
70, 5, 1.000000e-01, 1.526286e-08, 28000, 3, -1.000000e+09, 1.000000e+09, 
71, 5, 1.000000e-01, 4.556762e-09, 26222, 3, -1.000000e+09, 1.000000e+09, 
72, 5, 1.000000e-01, 3.240311e-10, 28000, 3, -1.000000e+09, 1.000000e+09, 
73, 5, 1.000000e-01, 5.851843e-09, 26222, 3, -1.000000e+09, 1.000000e+09, 
74, 5, 1.000000e-01, 4.117717e-10, 25333, 3, -1.000000e+09, 1.000000e+09, 
75, 5, 1.000000e-01, 6.638468e-09, 26222, 3, -1.000000e+09, 1.000000e+09, 
76, 5, 1.000000e-01, 3.138574e-07, 25333, 3, -1.000000e+09, 1.000000e+09, 
77, 5, 1.000000e-01, 2.007296e-08, 27111, 3, -1.000000e+09, 1.000000e+09, 
78, 5, 1.000000e-01, 2.806707e-09, 27111, 3, -1.000000e+09, 1.000000e+09, 
79, 5, 1.000000e-01, 3.080639e-08, 28000, 3, -1.000000e+09, 1.000000e+09, 
80, 5, 1.000000e-01, 7.066558e-09, 27555, 3, -1.000000e+09, 1.000000e+09, 
81, 5, 1.000000e-01, 1.380112e-09, 27555, 3, -1.000000e+09, 1.000000e+09, 
82, 5, 1.000000e-01, 7.297828e-09, 28000, 3, -1.000000e+09, 1.000000e+09, 
83, 5, 1.000000e-01, 2.448450e-09, 25778, 3, -1.000000e+09, 1.000000e+09, 
84, 5, 1.000000e-01, 7.480803e-10, 27556, 3, -1.000000e+09, 1.000000e+09, 
85, 5, 1.000000e-01, 4.787501e-08, 28444, 3, -1.000000e+09, 1.000000e+09, 
86, 5, 1.000000e-01, 3.773770e-08, 28889, 3, -1.000000e+09, 1.000000e+09, 
87, 5, 1.000000e-01, 2.401010e-08, 30222, 3, -1.000000e+09, 1.000000e+09, 
88, 5, 1.000000e-01, 8.923735e-09, 32444, 3, -1.000000e+09, 1.000000e+09, 
89, 5, 1.000000e-01, 3.208510e-09, 29334, 3, -1.000000e+09, 1.000000e+09, 
90, 5, 1.000000e-01, 6.295888e-09, 27556, 3, -1.000000e+09, 1.000000e+09, 
91, 5, 1.000000e-01, 1.917561e-08, 27556, 3, -1.000000e+09, 1.000000e+09, 
92, 5, 1.000000e-01, 8.211508e-10, 28444, 3, -1.000000e+09, 1.000000e+09, 
93, 5, 1.000000e-01, 1.666645e-10, 26666, 3, -1.000000e+09, 1.000000e+09, 
94, 5, 1.000000e-01, 4.174556e-09, 28444, 3, -1.000000e+09, 1.000000e+09, 
95, 5, 1.000000e-01, 1.338111e-09, 25778, 3, -1.000000e+09, 1.000000e+09, 
96, 5, 1.000000e-01, 5.591124e-09, 26222, 3, -1.000000e+09, 1.000000e+09, 
97, 5, 1.000000e-01, 9.351811e-10, 22222, 3, -1.000000e+09, 1.000000e+09, 
98, 5, 1.000000e-01, 1.282571e-08, 21334, 3, -1.000000e+09, 1.000000e+09, 
99, 5, 1.000000e-01, 1.799309e-09, 20000, 3, -1.000000e+09, 1.000000e+09, 
0, 5, 1.000000e-02, 3.321388e-10, 24889, 3, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-02, 5.753620e-09, 23555, 3, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-02, 2.888541e-09, 24889, 3, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-02, 3.861229e-08, 28000, 3, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-02, 2.174266e-08, 33778, 3, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-02, 5.097520e-10, 28445, 3, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-02, 9.690310e-09, 24000, 3, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-02, 8.581010e-08, 36444, 3, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-02, 1.238965e-08, 34222, 3, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-02, 2.973776e-09, 30222, 3, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-02, 5.004216e-08, 32000, 3, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-02, 9.311110e-10, 28889, 3, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-02, 1.114077e-07, 28889, 3, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-02, 5.655950e-09, 27556, 3, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-02, 5.165164e-10, 26667, 3, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-02, 3.522204e-08, 28445, 3, -1.000000e+09, 1.000000e+09, 
16, 5, 1.000000e-02, 2.742671e-09, 28889, 3, -1.000000e+09, 1.000000e+09, 
17, 5, 1.000000e-02, 4.269225e-09, 28000, 3, -1.000000e+09, 1.000000e+09, 
18, 5, 1.000000e-02, 7.760529e-09, 28000, 3, -1.000000e+09, 1.000000e+09, 
19, 5, 1.000000e-02, 5.313431e-09, 28000, 3, -1.000000e+09, 1.000000e+09, 
20, 5, 1.000000e-02, 2.875634e-09, 28444, 3, -1.000000e+09, 1.000000e+09, 
21, 5, 1.000000e-02, 9.507423e-07, 28889, 3, -1.000000e+09, 1.000000e+09, 
22, 5, 1.000000e-02, 2.642991e-09, 27111, 3, -1.000000e+09, 1.000000e+09, 
23, 5, 1.000000e-02, 3.846527e-10, 28444, 3, -1.000000e+09, 1.000000e+09, 
24, 5, 1.000000e-02, 2.311877e-09, 29778, 3, -1.000000e+09, 1.000000e+09, 
25, 5, 1.000000e-02, 6.522582e-09, 31556, 3, -1.000000e+09, 1.000000e+09, 
26, 5, 1.000000e-02, 8.621615e-10, 32445, 3, -1.000000e+09, 1.000000e+09, 
27, 5, 1.000000e-02, 4.696501e-09, 28889, 3, -1.000000e+09, 1.000000e+09, 
28, 5, 1.000000e-02, 1.174907e-08, 31556, 3, -1.000000e+09, 1.000000e+09, 
29, 5, 1.000000e-02, 9.015276e-10, 27555, 3, -1.000000e+09, 1.000000e+09, 
30, 5, 1.000000e-02, 5.691313e-09, 33333, 3, -1.000000e+09, 1.000000e+09, 
31, 5, 1.000000e-02, 2.729198e-09, 31556, 3, -1.000000e+09, 1.000000e+09, 
32, 5, 1.000000e-02, 3.018743e-09, 32000, 3, -1.000000e+09, 1.000000e+09, 
33, 5, 1.000000e-02, 1.746638e-09, 81333, 3, -1.000000e+09, 1.000000e+09, 
34, 5, 1.000000e-02, 1.180230e-08, 28000, 3, -1.000000e+09, 1.000000e+09, 
35, 5, 1.000000e-02, 4.298222e-09, 27111, 3, -1.000000e+09, 1.000000e+09, 
36, 5, 1.000000e-02, 1.370942e-09, 25778, 3, -1.000000e+09, 1.000000e+09, 
37, 5, 1.000000e-02, 3.752065e-09, 27555, 3, -1.000000e+09, 1.000000e+09, 
38, 5, 1.000000e-02, 1.637667e-08, 27556, 3, -1.000000e+09, 1.000000e+09, 
