index, matrix_size, precision, error, time, iterations, min_val, max_val
63, 5, 1.000000e-01, 1.697200e-19, 28889, 1, -1.000000e+09, 1.000000e+09, 
64, 5, 1.000000e-01, 9.267424e-19, 29333, 1, -1.000000e+09, 1.000000e+09, 
65, 5, 1.000000e-01, 1.568872e-18, 27556, 1, -1.000000e+09, 1.000000e+09, 
66, 5, 1.000000e-01, 2.389967e-19, 27556, 1, -1.000000e+09, 1.000000e+09, 
67, 5, 1.000000e-01, 8.614817e-19, 27111, 1, -1.000000e+09, 1.000000e+09, 
68, 5, 1.000000e-01, 6.584286e-19, 28000, 1, -1.000000e+09, 1.000000e+09, 
69, 5, 1.000000e-01, 8.124298e-19, 28444, 1, -1.000000e+09, 1.000000e+09, 
70, 5, 1.000000e-01, 8.667747e-19, 28000, 1, -1.000000e+09, 1.000000e+09, 
71, 5, 1.000000e-01, 1.433417e-19, 27111, 1, -1.000000e+09, 1.000000e+09, 
72, 5, 1.000000e-01, 4.904390e-19, 27555, 1, -1.000000e+09, 1.000000e+09, 
73, 5, 1.000000e-01, 7.493308e-19, 27556, 1, -1.000000e+09, 1.000000e+09, 
74, 5, 1.000000e-01, 1.144000e-18, 27112, 1, -1.000000e+09, 1.000000e+09, 
75, 5, 1.000000e-01, 9.253872e-19, 27556, 1, -1.000000e+09, 1.000000e+09, 
76, 5, 1.000000e-01, 9.803070e-19, 26667, 1, -1.000000e+09, 1.000000e+09, 
77, 5, 1.000000e-01, 6.700644e-19, 27555, 1, -1.000000e+09, 1.000000e+09, 
78, 5, 1.000000e-01, 1.750128e-18, 27111, 1, -1.000000e+09, 1.000000e+09, 
79, 5, 1.000000e-01, 1.880686e-18, 27555, 1, -1.000000e+09, 1.000000e+09, 
80, 5, 1.000000e-01, 8.510107e-19, 27111, 1, -1.000000e+09, 1.000000e+09, 
81, 5, 1.000000e-01, 1.251415e-18, 27555, 1, -1.000000e+09, 1.000000e+09, 
82, 5, 1.000000e-01, 1.029607e-18, 28889, 1, -1.000000e+09, 1.000000e+09, 
83, 5, 1.000000e-01, 2.343889e-19, 28889, 1, -1.000000e+09, 1.000000e+09, 
84, 5, 1.000000e-01, 7.075928e-19, 28889, 1, -1.000000e+09, 1.000000e+09, 
85, 5, 1.000000e-01, 1.717595e-19, 28000, 1, -1.000000e+09, 1.000000e+09, 
86, 5, 1.000000e-01, 2.335143e-18, 27111, 1, -1.000000e+09, 1.000000e+09, 
87, 5, 1.000000e-01, 6.218833e-19, 30667, 1, -1.000000e+09, 1.000000e+09, 
88, 5, 1.000000e-01, 7.141330e-19, 27556, 1, -1.000000e+09, 1.000000e+09, 
89, 5, 1.000000e-01, 4.771823e-19, 28000, 1, -1.000000e+09, 1.000000e+09, 
90, 5, 1.000000e-01, 1.865640e-18, 28445, 1, -1.000000e+09, 1.000000e+09, 
91, 5, 1.000000e-01, 4.645961e-19, 30666, 1, -1.000000e+09, 1.000000e+09, 
